ticker,sector,name,mer,fum,fum_change,inflow_outflow,transacted_value,transacted_volume,no_of_trades,monthly_liquidity,spred,last_price,distribution_yield,one_month_return,one_year_return,three_year_return,five_year_returns
GMTL,Equity - Global Sectors,Global X Green Metal Miners ETF,0.69,2.45,-0.26,                                  -  ,"258,184","34,189",59,10.53%,0.44%,7.15,1.31%,-7.74%,-33.98%,n/a,n/a
HACK,Equity - Global Sectors,Betashares Global Cybersecurity ETF,0.67,924.72,86.02,2.38,"35,549,176","3,145,793","7,923",3.84%,0.15%,11.91,0.00%,9.97%,54.08%,14.66%,20.21%
HGEN,Equity - Global Sectors,Global X Hydrogen ETF,0.69,35.75,-3.35,0,"2,125,974","420,483",749,5.95%,0.34%,5.02,0.18%,-8.56%,-34.38%,n/a,n/a
HLTH,Equity - Global Sectors,VanEck Global Healthcare Leaders ETF,0.45,57.18,2.6,                                  -  ,"4,196,272","396,377",314,7.34%,0.22%,10.78,1.02%,4.76%,6.31%,1.79%,n/a
IBUY,Equity - Global Sectors,Betashares Online Retail and E-Commerce ETF,0.67,1.26,0.03,                                  -  ,"164,347","15,368",71,13.02%,0.36%,10.98,0.00%,2.23%,11.13%,n/a,n/a
IEAT,Equity - Global Sectors,Betashares Future of Food ETF,0.67,3.56,1.5,1.53,"123,693","12,216",75,3.47%,0.34%,10.14,1.13%,-1.13%,-6.80%,n/a,n/a
IPAY,Equity - Global Sectors,Betashares Future of Payments ETF,0.67,1.78,0.01,                                  -  ,"742,741","72,713",73,41.65%,0.40%,10.49,0.00%,0.77%,20.30%,n/a,n/a
ITEK,Equity - Global Sectors,iShares Future Tech Innovators ETF,0.56,3.71,0.54,0.53,"1,505,725","57,686",126,40.59%,0.33%,26.5,0.15%,0.57%,9.94%,n/a,n/a
IXI,Equity - Global Sectors,iShares Global Consumer Staples ETF,0.4,142.17,4.77,0.05,"7,261,334","82,288",786,5.11%,0.17%,90.35,2.87%,5.24%,9.90%,9.23%,8.74%
IXJ,Equity - Global Sectors,iShares Global Healthcare ETF,0.4,"1,273.03",74.89,0.96,"27,575,752","208,261","4,221",2.17%,0.09%,134.21,1.40%,6.78%,15.01%,11.32%,12.02%
MHOT,Equity - Global Sectors,VanEck Morningstar Wide Moat (AUD Hedged) ETF,0.52,12.68,-0.07,                                  -  ,"4,542,347","36,176",107,35.82%,0.35%,126.68,0.00%,-0.65%,n/a,n/a,n/a
MNRS,Equity - Global Sectors,Betashares Global Gold Miners ETF - Currency Hedged,0.57,63.71,-6,0.99,"3,358,013","670,708",539,5.27%,0.39%,4.85,0.59%,-9.54%,-15.79%,-6.40%,7.23%
MTAV,Equity - Global Sectors,Betashares Metaverse ETF,0.69,3.77,0.47,0.34,"490,616","36,521",249,13.01%,0.40%,13.75,0.00%,4.25%,47.69%,n/a,n/a
RBTZ,Equity - Global Sectors,Betashares Global Robotics and Artificial Intelligence ETF,0.57,225,13.22,1.34,"10,446,947","807,265","2,695",4.64%,0.17%,13.36,0.05%,5.61%,33.00%,-0.05%,12.29%
ROBO,Equity - Global Sectors,Global X ROBO Global Robotics & Automation ETF,0.69,240.47,0.79,-1.49,"6,294,733","85,900",920,2.62%,0.19%,74.42,0.53%,0.95%,14.82%,0.24%,11.52%
ROYL,Equity - Global Sectors,Betashares Global Royalties ETF,0.69,6.16,0.02,0,"917,743","107,409",94,14.89%,0.47%,8.6,4.52%,0.76%,-2.26%,n/a,n/a
SEMI,Equity - Global Sectors,Global X Semiconductor ETF,0.57,153.97,18.79,8.62,"19,019,786","1,359,622","3,747",12.35%,0.19%,14.3,0.51%,7.52%,66.47%,n/a,n/a
TANN,Equity - Global Sectors,Betashares Solar ETF,0.69,2.82,-0.51,0,"235,724","28,881",152,8.37%,0.43%,8.05,0.28%,-15.24%,-34.77%,n/a,n/a
TECH,Equity - Global Sectors,Global X Morningstar Global Technology ETF,0.45,341.72,6.22,-2.01,"11,678,614","117,955","1,126",3.42%,0.27%,101.11,0.49%,2.45%,32.85%,6.62%,16.90%
URNM,Equity - Global Sectors,Betashares Global Uranium ETF,0.69,117.88,29.04,12.41,"38,472,488","3,822,396","3,989",32.64%,0.29%,10.34,0.14%,18.86%,65.74%,n/a,n/a
WIRE,Equity - Global Sectors,Global X Copper Miners ETF,0.65,152.19,2.35,3.4,"12,795,498","1,155,939","1,400",8.41%,0.31%,11.25,0.82%,-0.71%,-2.14%,n/a,n/a
XMET,Equity - Global Sectors,Betashares Energy Transition Metals ETF,0.69,18.53,-4.15,-2.05,"4,094,242","573,702",347,22.09%,0.35%,6.86,1.44%,-8.48%,-20.24%,n/a,n/a
ADEF,Equity - Global Strategy,Apostle Dundas Global Equity Fund - Class D Units (Managed Fund),0.9,15.74,0.99,0.2,"576,841","110,834",41,3.66%,0.38%,5.37,0.21%,3.27%,24.50%,11.40%,n/a
AGX1,Equity - Global Strategy,Antipodes Global Shares (Quoted Managed Fund),1.1,334.5,9.45,-0.86,"4,981,077","917,276",218,1.49%,0.41%,5.53,0.33%,3.17%,13.48%,7.77%,9.19%
BBUS,Equity - Global Strategy,Betashares US Equities Strong Bear Currency Hedged (Hedge Fund),1.38,202.25,-8.54,0.98,"85,053,183","12,370,382","2,368",42.05%,0.14%,6.55,0.00%,-4.52%,-32.61%,-22.63%,-31.82%
CFLO,Equity - Global Strategy,Betashares Global Cash Flow Kings ETF,0.4,12.37,4.18,3.65,"6,971,892","443,087",435,56.38%,0.18%,16.19,0.00%,6.51%,n/a,n/a,n/a
ERTH,Equity - Global Strategy,Betashares Climate Change Innovation ETF,0.65,110.53,-40.54,-26.66,"29,614,909","3,437,182","1,046",26.79%,0.29%,8.6,0.18%,-9.19%,-13.09%,n/a,n/a
ETHI,Equity - Global Strategy,Betashares Global Sustainability Leaders ETF,0.59,"2,945.40",229.44,17.62,"100,472,248","7,433,854","11,490",3.41%,0.12%,13.96,4.37%,8.13%,31.09%,13.62%,19.21%
FATP,Equity - Global Strategy,Fat Prophets Global High Conviction Hedge Fund,1.77,3.7,-0.06,-0.05,"141,997","118,591",7,3.84%,0.80%,1.2,0.87%,0.42%,-0.31%,n/a,n/a
FDEM,Equity - Global Strategy,Fidelity Global Demographics Fund (Managed Fund),0.89,105.09,2.89,-2.01,"98,144","3,618",25,0.09%,0.38%,28.2,0.73%,5.15%,22.32%,n/a,n/a
FUTR,Equity - Global Strategy,Janus Henderson Global Sustainable Active ETF (Managed Fund),0.8,1.1,0.05,0,"17,170",549,15,1.56%,0.53%,31.42,0.52%,4.28%,24.01%,n/a,n/a
GGUS,Equity - Global Strategy,Betashares Geared US Equity Fund Currency Hedged (Hedge Fund),0.8,192.48,9.17,                                  -  ,"28,211,016","922,165","2,048",14.66%,0.12%,31.91,0.00%,5.00%,45.11%,11.93%,18.61%
GLOB,Equity - Global Strategy,Barrow Hanley Global Share Fund (Managed Fund),0.99,261.43,6.89,3.39,"6,282,309","1,437,051",729,2.40%,0.24%,4.42,6.20%,2.20%,13.13%,n/a,n/a
GOAT,Equity - Global Strategy,VanEck Morningstar International Wide Moat ETF,0.55,39.38,0.99,                                  -  ,"1,605,394","60,174",182,4.08%,0.21%,27.05,1.48%,2.50%,14.60%,10.69%,n/a
GPEQ,Equity - Global Strategy,VanEck Global Listed Private Equity ETF,0.92,21.39,0.93,                                  -  ,"2,595,719","133,568",227,12.14%,0.28%,20.24,2.67%,4.55%,38.57%,n/a,n/a
HETH,Equity - Global Strategy,Betashares Global Sustainability Leaders ETF - Currency Hedged,0.62,422.16,14.53,-2.65,"13,292,561","1,016,633",958,3.15%,0.25%,13.36,3.57%,4.60%,21.75%,7.94%,n/a
HQLT,Equity - Global Strategy,Betashares Global Quality Leaders ETF - Currency Hedged,0.38,55.31,1.97,0.01,"3,060,071","112,153",203,5.53%,0.30%,27.76,0.33%,4.01%,28.25%,8.14%,n/a
HVLU,Equity - Global Strategy,VanEck MSCI International Value (AUD Hedged) ETF,0.43,2.6,0.04,                                  -  ,"24,668",957,6,0.95%,0.23%,25.83,0.00%,1.06%,n/a,n/a,n/a
HYGG,Equity - Global Strategy,Hyperion Global Growth Companies Fund (Managed Fund),0.7,"2,463.13",112.85,-13.91,"25,640,848","5,635,020","1,855",1.04%,0.28%,4.69,0.00%,5.39%,60.07%,n/a,n/a
IISV,Equity - Global Strategy,Intelligent Investor Select Value Share Fund (Managed Fund),0.97,32.08,1.07,0.44,"494,327","166,593",74,1.54%,0.62%,3.02,0.00%,2.03%,n/a,n/a,n/a
INCM,Equity - Global Strategy,Betashares Global Income Leaders ETF,0.45,27.26,0.67,0.02,"1,346,722","85,610",144,4.94%,0.27%,15.98,4.19%,3.34%,5.68%,13.00%,5.51%
ISLM,Equity - Global Strategy,Hejaz Equities Fund (Managed Fund),1.89,85.36,-1.02,-1.02,"10,399","10,997",31,0.01%,1.04%,0.96,0.00%,0.52%,4.92%,n/a,n/a
JEPI,Equity - Global Strategy,JPMorgan Equity Premium Income Active ETF (Managed Fund),0.4,66.27,6.69,3.37,"4,065,772","80,042",537,6.14%,0.37%,51.77,7.35%,6.27%,17.56%,n/a,n/a
JHPI,Equity - Global Strategy,JPMorgan Equity Premium Income Active ETF (Managed Fund) (Hedged),0.4,1.8,0.54,0.51,"166,016","3,291",10,9.22%,0.52%,50.54,5.02%,0.59%,n/a,n/a,n/a
JPEQ,Equity - Global Strategy,JPMorgan US 100Q Equity Premium Income Active ETF (Managed Fund),0.4,21.66,20.35,20.25,"402,710","7,436",131,1.86%,0.53%,56.25,5.79%,8.07%,n/a,n/a,n/a
JPHQ,Equity - Global Strategy,JPMorgan US 100Q Equity Premium Income Active ETF (Managed Fund) (Hedged),0.4,1.38,0.04,                                  -  ,"33,186",621,6,2.41%,0.92%,54.92,5.84%,3.07%,n/a,n/a,n/a
JREG,Equity - Global Strategy,JPMorgan Global Research Enhanced Index Equity Active ETF (Managed Fund),0.3,13.27,1.04,0.32,"460,196","7,257",20,3.47%,0.64%,64.59,1.02%,5.50%,29.60%,n/a,n/a
JRHG,Equity - Global Strategy,JPMorgan Global Research Enhanced Index Equity Hedged Active ETF (Managed Fund),0.3,1.93,0.6,0.55,"35,674",673,4,1.85%,0.89%,54.14,0.00%,2.17%,n/a,n/a,n/a
JZRO,Equity - Global Strategy,Janus Henderson Net Zero Active ETF (Managed Fund),0.85,1.62,0,                                  -  ,"102,887","3,862",32,6.34%,0.37%,26.96,0.68%,0.04%,-2.14%,n/a,n/a
L1IF,Equity - Global Strategy,L1 Capital International Fund (Managed Fund),1.2,205.47,17.13,1.98,"2,361,867","442,147",66,1.15%,0.61%,5.51,0.00%,8.04%,n/a,n/a,n/a
LNAS,Equity - Global Strategy,Global X Ultra Long Nasdaq 100 Hedge Fund,1,71.89,4.47,1.48,"145,265,558","15,272,996","2,201",202.06%,0.09%,9.89,6.32%,4.55%,107.50%,6.62%,n/a
LPGD,Equity - Global Strategy,Loftus Peak Global Disruption Fund (Managed Fund),1.2,337,30.07,3.88,"2,729,519","695,493",336,0.81%,0.41%,4.07,0.00%,8.53%,60.87%,11.30%,n/a
LSGE,Equity - Global Strategy,Loomis Sayles Global Equity Fund (Quoted Managed Fund),0.99,45.01,2.86,-0.23,"358,149","128,281",31,0.80%,0.69%,2.92,0.00%,7.75%,33.94%,n/a,n/a
MAET,Equity - Global Strategy,Munro Global Growth Fund (Hedge Fund),1.35,183.61,12.27,0.42,"4,297,984","826,647",249,2.34%,0.32%,5.41,0.00%,6.92%,25.23%,3.23%,n/a
MCCL,Equity - Global Strategy,Munro Climate Change Leaders Fund (Managed Fund),0.9,34.21,1.73,-0.02,"614,728","58,048",85,1.80%,0.58%,10.73,0.24%,4.07%,21.41%,n/a,n/a
MCGG,Equity - Global Strategy,Munro Concentrated Global Growth Fund (Managed Fund),0.7,3.17,1.09,0.88,"943,972","81,786",67,29.80%,0.63%,11.69,0.88%,10.08%,37.32%,n/a,n/a
MGOC,Equity - Global Strategy,Magellan Global Fund - Open Class Units (Managed Fund),1.35,"6,366.41",308.74,-71.26,"39,404,471","14,363,035","1,527",0.62%,0.40%,2.88,3.54%,8.30%,29.53%,9.36%,n/a
MHG,Equity - Global Strategy,Magellan Global Equities Fund Currency Hedged (Managed Fund),1.35,110.94,0.9,-1.97,"3,629,906","1,060,644",216,3.27%,0.46%,3.55,3.91%,4.97%,19.72%,3.76%,7.58%
MHHT,Equity - Global Strategy,Magellan High Conviction Trust (Managed Fund),1.5,460.72,23.11,-3.18,"8,296,136","4,886,061",378,1.80%,0.38%,1.77,2.61%,7.47%,40.30%,n/a,n/a
MKAX,Equity - Global Strategy,Montaka Global Extension Fund (Quoted Managed Hedge Fund),1.25,52.69,4.75,1.68,"896,140","296,448",100,1.70%,0.56%,3.32,4.22%,8.98%,54.98%,4.51%,n/a
MOAT,Equity - Global Strategy,VanEck Morningstar Wide Moat ETF,0.49,833.81,49.6,21.5,"41,151,310","342,371","6,046",4.94%,0.07%,122.85,6.63%,3.58%,28.57%,17.81%,17.22%
MOGL,Equity - Global Strategy,Montaka Global Equities Fund (Managed Fund),1.32,91.16,6.61,2.03,"2,038,055","552,936",97,2.24%,0.51%,3.89,3.88%,7.73%,51.08%,9.80%,9.06%
MQWS,Equity - Global Strategy,Macquarie Walter Scott Global Equity Active ETF (Managed Fund),1.28,0.82,-0.21,-0.27,"1,932,462","181,882",30,236.60%,0.21%,10.89,0.00%,6.04%,n/a,n/a,n/a
MSTR,Equity - Global Strategy,Morningstar International Shares Active ETF (Managed Fund),0.39,185.17,4.63,1.85,"5,540,875","609,576","1,046",2.99%,0.30%,9.23,6.08%,1.54%,11.35%,7.61%,n/a
NNUK,Equity - Global Strategy,Nanuk New World Fund (Managed Fund),1.1,757.6,32.87,-1.45,"2,072,150","1,136,233",152,0.27%,0.53%,1.88,0.33%,4.74%,21.34%,n/a,n/a
PAXX,Equity - Global Strategy,Platinum Asia Fund (Quoted Managed Hedge Fund),1.1,87.67,-2.63,-1.29,"2,425,274","610,160",178,2.77%,0.64%,3.98,1.59%,-1.49%,-7.15%,-6.16%,5.26%
PGTX,Equity - Global Strategy,Platinum Global Transition Fund (Quoted Managed Hedge Fund),1.025,13.81,0.29,-0.03,"32,372","30,616",16,0.23%,0.88%,1.07,0.00%,1.90%,0.94%,n/a,n/a
PIXX,Equity - Global Strategy,Platinum International Fund (Quoted Managed Hedge Fund),1.1,303.81,0.78,-1.18,"8,681,684","1,864,237",483,2.86%,0.37%,4.67,6.58%,0.65%,0.93%,5.73%,6.85%
QHAL,Equity - Global Strategy,VanEck MSCI World Ex-Australia Quality (Hedged) ETF,0.43,932.9,51.25,13.96,"40,403,510","952,273","3,089",4.33%,0.09%,43.61,1.00%,4.23%,29.53%,9.83%,n/a
QHSM,Equity - Global Strategy,VanEck MSCI International Small Companies Quality (AUD Hedged) ETF,0.62,21.94,5.52,5.48,"9,783,724","366,391",287,44.60%,0.22%,27.42,0.00%,0.22%,n/a,n/a,n/a
QLTY,Equity - Global Strategy,Betashares Global Quality Leaders ETF,0.35,463.65,32,2.2,"14,650,649","548,919","1,961",3.16%,0.14%,27.72,0.96%,7.29%,36.73%,12.70%,16.16%
QMAX,Equity - Global Strategy,Betashares NASDAQ 100 Yield Maximiser Fund (Managed Fund),0.68,8.36,0.48,0.01,"948,764","38,244",245,11.35%,0.40%,25.44,5.69%,7.57%,47.03%,n/a,n/a
QMIX,Equity - Global Strategy,SPDR MSCI World Quality Mix Fund,0.18,53.98,4.35,1.46,"1,878,338","67,038",187,3.48%,0.19%,28.78,2.73%,5.81%,24.89%,14.62%,13.28%
QSML,Equity - Global Strategy,VanEck MSCI International Small Companies Quality ETF,0.59,408.03,37.06,22.99,"22,031,672","846,561","2,081",5.40%,0.13%,26.82,0.52%,3.79%,28.53%,n/a,n/a
QUAL,Equity - Global Strategy,VanEck MSCI International Quality ETF,0.4,"4,892.73",425.89,85.28,"153,580,152","3,133,351","8,858",3.14%,0.04%,50.53,0.99%,7.63%,40.12%,16.08%,17.87%
QYLD,Equity - Global Strategy,Global X Nasdaq 100 Covered Call ETF,0.6,5.09,1.39,1.17,"1,118,911","96,195",88,21.96%,0.40%,11.66,6.85%,6.04%,24.94%,n/a,n/a
S3GO,Equity - Global Strategy,Firetrail S3 Global Opportunities Fund (Managed Fund),0.72,11.63,0.67,0.14,"388,677","73,862",32,3.34%,0.36%,5.4,0.00%,4.85%,21.90%,n/a,n/a
SNAS,Equity - Global Strategy,Global X Ultra Short Nasdaq 100 Hedge Fund,1,57.06,6.25,9.21,"90,651,675","46,983,162","1,804",158.88%,0.31%,1.86,0.00%,-5.82%,-58.76%,-31.62%,n/a
T3MP,Equity - Global Strategy,JPMorgan Climate Change Solutions Active ETF (Managed Fund),0.55,1.33,0.02,                                  -  ,"3,763",72,5,0.28%,0.41%,53.41,0.94%,2.46%,n/a,n/a,n/a
UMAX,Equity - Global Strategy,Betashares S&P 500 Yield Maximiser Fund (Managed Fund),0.79,166.29,10.48,1.34,"6,253,254","285,421","1,114",3.76%,0.20%,22.56,4.97%,7.19%,26.86%,13.76%,11.37%
UYLD,Equity - Global Strategy,Global X S&P 500 Covered Call ETF,0.6,1.19,0.06,0,"422,915","39,807",64,35.56%,0.41%,10.78,7.36%,5.68%,15.95%,n/a,n/a
VESG,Equity - Global Strategy,Vanguard Ethically Conscious International Shares Index ETF,0.18,791.04,48.79,6.17,"21,134,497","262,526","3,764",2.67%,0.06%,83.05,1.67%,6.08%,30.86%,12.36%,14.31%
VISM,Equity - Global Strategy,Vanguard MSCI International Small Companies Index ETF,0.33,294.83,6.93,3.39,"9,250,225","155,064","1,795",3.14%,0.10%,60.88,3.19%,1.66%,14.14%,6.89%,9.51%
VMIN,Equity - Global Strategy,Vanguard Global Minimum Volatility Active ETF (Managed Fund),0.28,17.95,0.81,0.28,"1,581,708","28,503",127,8.81%,0.30%,56.5,0.00%,3.08%,8.70%,3.71%,5.03%
VNGS,Equity - Global Strategy,Vanughan Nelson Global SMID Fund (Quoted Managed Fund),1.12,11.94,0.38,0.09,"89,705","31,827",3,0.75%,0.71%,2.83,0.00%,1.80%,10.12%,n/a,n/a
VVLU,Equity - Global Strategy,Vanguard Global Value Equity Active ETF (Managed Fund),0.29,544.3,19.09,3.81,"17,853,251","270,169","3,032",3.28%,0.11%,68.25,6.20%,4.13%,19.23%,18.61%,11.43%
WCMQ,Equity - Global Strategy,WCM Quality Global Growth Fund (Quoted Managed Fund),1.35,328.66,17.27,-4.73,"8,723,119","1,101,550",562,2.65%,0.46%,8.18,0.00%,7.07%,30.67%,6.38%,14.33%
WDIV,Equity - Global Strategy,SPDR S&P Global Dividend Fund,0.35,359.69,8.47,0.32,"9,865,481","549,106","1,044",2.74%,0.18%,18.08,4.61%,2.32%,7.93%,8.83%,4.61%
WDMF,Equity - Global Strategy,iShares Edge MSCI World Multifactor ETF,0.35,156.71,8.49,0.05,"1,310,517","32,867",99,0.84%,0.14%,40.57,2.48%,5.62%,19.02%,11.60%,10.47%
WVOL,Equity - Global Strategy,iShares Edge MSCI World Minimum Volatility ETF,0.3,293.31,18.45,6.17,"15,201,595","407,296","1,533",5.18%,0.17%,37.88,2.29%,5.61%,13.62%,9.47%,8.17%
XALG,Equity - Global Strategy,Alphinity Global Equity Fund (Managed Fund),0.75,517.42,40.41,5.77,"318,091","31,785",25,0.06%,0.60%,10.34,1.57%,7.26%,21.73%,n/a,n/a
XASG,Equity - Global Strategy,Alphinity Global Sustainable Fund (Managed Fund),0.75,64.64,5.45,0.12,"21,328","3,471",10,0.03%,0.64%,6.41,0.24%,9.01%,n/a,n/a,n/a
VLUE,Equity - Global Strategy,VanEck MSCI International Value ETF,0.4,236.95,9.13,                                  -  ,"6,230,606","250,074",589,2.63%,0.16%,25.44,2.99%,4.01%,18.90%,n/a,n/a
ZYUS,Equity - Global Strategy,Global X S&P 500 High Yield Low Volatility ETF,0.35,67.91,62.02,-0.64,"2,694,035","205,526",407,3.97%,0.22%,13.28,7.28%,n/a,n/a,n/a,n/a
IFRA,Equity - Infrastructure,VanEck FTSE Global Infrastructure (Hedged) ETF,0.2,800.21,13.52,32.87,"63,544,592","3,269,585","3,733",7.94%,0.13%,19.43,3.45%,-1.62%,-3.67%,3.86%,3.36%
GLIN,Equity - Infrastructure,iShares Core FTSE Global Infrastructure (AUD Hedged) ETF,0.15,180.05,58.09,61.59,"62,488,370","2,637,058",454,34.71%,0.18%,23.69,1.68%,-2.41%,n/a,n/a,n/a
JPSI,Equity - Infrastructure,JPMorgan Sustainable Infrastructure Active ETF (Managed Fund),0.55,1.25,-0.02,                                  -  ,101,2,1,0.01%,0.46%,50.56,1.29%,n/a,2.31%,n/a,n/a
MICH,Equity - Infrastructure,Magellan Infrastructure Fund (Currency Hedged) (Managed Fund),1.06,655.62,-24.02,-2.17,"19,182,750","7,044,838","1,922",2.93%,0.41%,2.71,4.32%,-1.14%,-1.16%,4.02%,3.15%
VBLD,Equity - Infrastructure,Vanguard Global Infrastructure Index ETF,0.47,321.26,5.48,2.94,"14,285,560","233,236","1,439",4.45%,0.11%,61.6,2.65%,1.44%,4.19%,8.33%,6.65%
MVA,Property - Australia,VanEck Australian Property ETF,0.35,551.16,-84.63,-103.51,"135,637,592","6,605,461","3,040",24.61%,0.11%,21.5,5.07%,5.64%,3.92%,5.44%,3.83%
RINC,Property - Australia,Betashares Martin Currie Real Income Fund (Managed Fund),0.85,56.95,-0.45,0.47,"1,547,015","183,958",231,2.72%,0.36%,8.55,3.88%,0.04%,2.75%,6.42%,4.02%
SLF,Property - Australia,SPDR S&P/ASX 200 Listed Property Fund,0.4,481.22,7.09,1.75,"16,183,283","1,437,985","1,391",3.36%,0.14%,11.68,7.75%,1.13%,9.53%,7.19%,4.84%
VAP,Property - Australia,Vanguard Australian Property Securities Index ETF,0.23,"2,747.97",11.76,16.24,"95,055,904","1,152,421","13,762",3.46%,0.04%,85.34,3.66%,1.08%,8.80%,7.58%,5.22%
DJRE,Property - Global,SPDR Dow Jones Global Real Estate ESG Fund,0.5,421.18,-0.37,1.28,"11,013,133","543,957","1,495",2.61%,0.11%,20.3,2.81%,-0.29%,6.79%,6.92%,2.30%
GLPR,Property - Global,iShares Core FTSE Global Property Ex Australia (AUD Hedged) ETF,0.15,61.25,37.2,38.28,"45,215,898","1,772,282",112,73.82%,0.21%,25.52,1.87%,-4.21%,n/a,n/a,n/a
HJZP,Property - Global,Hejaz Property Fund (Managed Fund),1.5,12.44,-0.16,0,"6,158","7,863",12,0.05%,1.19%,0.79,0.52%,0.00%,-1.32%,n/a,n/a
RCAP,Property - Global,Resolution Capital Global Property Securities Fund (Managed Fund),0.8,"1,388.49",-63.37,4.26,"3,752,703","2,412,698",639,0.27%,0.52%,1.54,2.63%,-4.17%,-2.97%,n/a,n/a
REIT,Property - Global,VanEck FTSE International Property (Hedged) ETF,0.2,303.01,-9.95,5.58,"13,024,390","842,775","2,153",4.30%,0.16%,15.33,4.44%,-4.35%,-2.67%,0.63%,n/a
1GOV,Fixed Income - Australia Dollar,VanEck 1-5 Year Australian Government Bond ETF,0.22,2.04,0,0,"412,007","8,114",55,20.23%,0.08%,50.89,0.84%,0.25%,n/a,n/a,n/a
5GOV,Fixed Income - Australia Dollar,VanEck 5-10 Year Australian Government Bond ETF,0.22,4.14,-0.01,0,"1,632,555","31,499",78,39.42%,0.16%,51.72,0.83%,-0.20%,n/a,n/a,n/a
XGOV,Fixed Income - Australia Dollar,VanEck 10+ Year Australian Government Bond ETF,0.22,14.61,-0.12,                                  -  ,"1,265,169","24,447",73,8.66%,0.13%,52.17,1.07%,-1.04%,n/a,n/a,n/a
AGVT,Fixed Income - Australia Dollar,Betashares Australian Government Bond ETF,0.22,615.11,3.15,6.77,"44,901,405","1,078,285","2,048",7.30%,0.08%,41.94,3.25%,-0.32%,1.49%,-4.86%,n/a
BHYB,Fixed Income - Australia Dollar,Betashares Australian Major Bank Hybrids Index ETF,0.35,338.45,11.19,11.85,"20,951,657","2,128,726","1,168",6.19%,0.17%,9.85,4.95%,0.38%,4.57%,n/a,n/a
BNDS,Fixed Income - Australia Dollar,Betashares Western Asset Australian Bond Fund (Managed Fund),0.42,621,-14.62,-13.01,"44,287,265","1,892,214","1,346",7.13%,0.11%,23.69,3.10%,0.07%,2.64%,-2.59%,0.56%
BOND,Fixed Income - Australia Dollar,SPDR S&P/ASX Australian Bond Fund,0.24,37.08,-0.01,0,"820,780","33,484",201,2.21%,0.14%,24.75,0.42%,-0.04%,2.03%,-3.35%,0.06%
CRED,Fixed Income - Australia Dollar,Betashares Australian Investment Grade Bond ETF,0.25,682.85,17.71,18.3,"38,584,764","1,721,090","3,716",5.65%,0.11%,22.68,4.59%,0.30%,6.28%,-2.70%,1.86%
FLOT,Fixed Income - Australia Dollar,VanEck Australian Floating Rate ETF,0.22,686.63,-1.29,-2.95,"18,999,061","763,783","1,455",2.77%,0.08%,24.93,4.47%,0.65%,4.88%,2.08%,2.05%
GOVT,Fixed Income - Australia Dollar,SPDR S&P/ASX Australian Government Bond Fund,0.1,35.86,0.41,0.48,"885,422","37,102",259,2.47%,0.15%,24.02,1.10%,-0.21%,1.45%,-3.79%,-0.21%
GGAB,Fixed Income - Australia Dollar,Betashares Geared Long Australian Government Bond Fund (Hedge Fund),0.99,2.69,2.13,2.15,"522,461","24,276",33,19.45%,0.36%,21.62,0.00%,-2.52%,n/a,n/a,n/a
BBAB,Fixed Income - Australia Dollar,Betashares Geared Short Australian Government Bond Fund (Hedge Fund),0.99,1.39,0.94,0.93,"751,756","40,051",21,54.06%,0.40%,18.54,0.00%,n/a,n/a,n/a,n/a
HBRD,Fixed Income - Australia Dollar,Betashares Active Australian Hybrids Fund,0.55,"2,161.64",5.48,7.61,"85,827,672","8,512,181","3,727",3.97%,0.10%,10.1,5.37%,0.43%,5.66%,4.07%,4.45%
HCRD,Fixed Income - Australia Dollar,Betashares Interest Rate Hedged Australian Grade Corporate Bond ETF,0.29,14.53,4.89,4.84,"4,348,499","180,300",61,29.92%,0.22%,24.19,4.55%,0.83%,9.03%,n/a,n/a
IAF,Fixed Income - Australia Dollar,iShares Core Composite Bond ETF,0.1,"2,285.20",8.68,24.1,"77,492,355","770,472","6,434",3.39%,0.04%,101.18,2.04%,-0.03%,2.21%,-2.69%,0.36%
ICOR,Fixed Income - Australia Dollar,iShares Core Corporate Bond ETF,0.15,149.52,-0.66,0.02,"8,505,323","91,177",882,5.69%,0.12%,93.92,3.19%,0.53%,4.72%,-0.94%,n/a
ILB,Fixed Income - Australia Dollar,iShares Government Inflation ETF,0.18,619.08,-9.62,0.09,"13,990,004","111,579","2,000",2.26%,0.16%,125.61,1.90%,-1.14%,3.05%,-0.59%,2.16%
IGB,Fixed Income - Australia Dollar,iShares Treasury ETF,0.18,405,-0.41,1.98,"15,454,559","158,868","1,387",3.82%,0.06%,97.92,1.92%,-0.04%,0.99%,-3.17%,-0.03%
IYLD,Fixed Income - Australia Dollar,iShares Yield Plus ETF,0.12,29.33,-4.88,-4.91,"7,921,408","80,326",208,27.01%,0.20%,99.1,4.02%,0.56%,5.12%,1.49%,n/a
OZBD,Fixed Income - Australia Dollar,Betashares Australian Composite Bond ETF,0.19,324.74,17.91,19.49,"29,918,227","681,148","2,485",9.21%,0.09%,44.28,3.72%,-0.21%,2.88%,n/a,n/a
PLUS,Fixed Income - Australia Dollar,VanEck Australian Corporate Bond Plus ETF,0.32,297.46,0.74,0.02,"12,018,317","731,821",809,4.04%,0.16%,16.58,3.32%,0.55%,5.20%,-1.56%,1.70%
QPON,Fixed Income - Australia Dollar,Betashares Australian Bank Senior Floating Rate Bond ETF,0.22,"1,226.52",14.01,12.61,"61,296,189","2,362,406","5,061",5.00%,0.07%,26.03,4.21%,0.51%,5.39%,2.22%,2.47%
